season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season,vote_share,judge_share,normal
8,4,percent,Lawrence Taylor,19,1119169,Edyta Sliwinska,Athlete,United States,50,0.111916911,0.078512397,0.5
8,4,percent,Ty Murray,25,1017233,Chelsie Hightower,Athlete,United States,39,0.10172331,0.103305785,0.75
8,4,percent,Shawn Johnson,25,1025088,Mark Ballas,Athlete,United States,17,0.10250881,0.103305785,1
8,4,percent,Steve Wozniak,12,279426,Karina Smirnoff,Entrepreneur,United States,58,0.027942603,0.049586777,0.25
8,4,percent,Chuck Wicks,22,1045474,Julianne Hough,Singer/Rapper,United States,29,0.10454741,0.090909091,0.583333333
8,4,percent,Lil' Kim,27,995156,Derek Hough,Singer/Rapper,United States,34,0.09951561,0.111570248,0.666666667
8,4,percent,Steve-O,15,1303270,Lacey Schwimmer,TV Personality,England,34,0.130327013,0.061983471,0.416666667
8,4,percent,Holly Madison,16,211748,Dmitry Chaplin,TV Personality,United States,30,0.021174802,0.066115702,0.166666667
8,4,percent,Melissa Rycroft,29,975556,Tony Dovolani,TV Personality,United States,26,0.09755561,0.119834711,0.833333333
8,5,percent,Gilles Marini,29,1237572,Cheryl Burke,Actor/Actress,France,33,0.112506586,0.138095238,0.916666667
8,5,percent,David Alan Grier,22,166282,Kym Johnson,Actor/Actress,United States,52,0.015116551,0.104761905,0.333333333
8,5,percent,Lawrence Taylor,20,1475655,Edyta Sliwinska,Athlete,United States,50,0.134150503,0.095238095,0.5
8,5,percent,Ty Murray,21,1429579,Chelsie Hightower,Athlete,United States,39,0.129961775,0.1,0.75
8,5,percent,Shawn Johnson,26,1250147,Mark Ballas,Athlete,United States,17,0.113649769,0.123809524,1
8,5,percent,Chuck Wicks,23,1338893,Julianne Hough,Singer/Rapper,United States,29,0.12171759,0.10952381,0.583333333
8,5,percent,Lil' Kim,26,1215940,Derek Hough,Singer/Rapper,United States,34,0.11054004,0.123809524,0.666666667
8,5,percent,Steve-O,18,1599682,Lacey Schwimmer,TV Personality,England,34,0.145425689,0.085714286,0.416666667
8,5,percent,Melissa Rycroft,25,1286246,Tony Dovolani,TV Personality,United States,26,0.116931497,0.119047619,0.833333333
8,6,percent,Gilles Marini,26,1486721,Cheryl Burke,Actor/Actress,France,33,0.135156504,0.139784946,0.916666667
8,6,percent,Lawrence Taylor,22,1546946,Edyta Sliwinska,Athlete,United States,50,0.140631506,0.11827957,0.5
8,6,percent,Ty Murray,18,1696972,Chelsie Hightower,Athlete,United States,39,0.154270238,0.096774194,0.75
8,6,percent,Shawn Johnson,26,1474492,Mark Ballas,Athlete,United States,17,0.134044776,0.139784946,1
8,6,percent,Chuck Wicks,23,1516106,Julianne Hough,Singer/Rapper,United States,29,0.137827868,0.123655914,0.583333333
8,6,percent,Lil' Kim,28,1471858,Derek Hough,Singer/Rapper,United States,34,0.133805321,0.150537634,0.666666667
8,6,percent,Steve-O,16,331918,Lacey Schwimmer,TV Personality,England,34,0.030174375,0.086021505,0.416666667
8,6,percent,Melissa Rycroft,27,1474983,Tony Dovolani,TV Personality,United States,26,0.134089412,0.14516129,0.833333333
8,7,percent,Gilles Marini,27,1772853,Cheryl Burke,Actor/Actress,France,33,0.161168499,0.148351648,0.916666667
8,7,percent,Lawrence Taylor,21,331485,Edyta Sliwinska,Athlete,United States,50,0.030135008,0.115384615,0.5
8,7,percent,Ty Murray,24,1856289,Chelsie Hightower,Athlete,United States,39,0.168753591,0.131868132,0.75
8,7,percent,Shawn Johnson,28,1749176,Mark Ballas,Athlete,United States,17,0.159016043,0.153846154,1
8,7,percent,Chuck Wicks,27,1771719,Julianne Hough,Singer/Rapper,United States,29,0.161065408,0.148351648,0.583333333
8,7,percent,Lil' Kim,26,1779409,Derek Hough,Singer/Rapper,United States,34,0.161764499,0.142857143,0.666666667
8,7,percent,Melissa Rycroft,29,1739066,Tony Dovolani,TV Personality,United States,26,0.158096952,0.159340659,0.833333333
8,8,percent,Gilles Marini,27.5,2056863,Cheryl Burke,Actor/Actress,France,33,0.186987613,0.176282051,0.916666667
8,8,percent,Ty Murray,26,2125641,Chelsie Hightower,Athlete,United States,39,0.193240161,0.166666667,0.75
8,8,percent,Shawn Johnson,26,2119048,Mark Ballas,Athlete,United States,17,0.192640797,0.166666667,1
8,8,percent,Chuck Wicks,25.5,317352,Julianne Hough,Singer/Rapper,United States,29,0.028850192,0.163461538,0.583333333
8,8,percent,Lil' Kim,28,2029396,Derek Hough,Singer/Rapper,United States,34,0.184490613,0.179487179,0.666666667
8,8,percent,Melissa Rycroft,23,2351696,Tony Dovolani,TV Personality,United States,26,0.213790623,0.147435897,0.833333333
8,9,percent,Gilles Marini,28,2548322,Cheryl Burke,Actor/Actress,France,33,0.2316657,0.209737828,0.916666667
8,9,percent,Ty Murray,23,2932194,Chelsie Hightower,Athlete,United States,39,0.266563164,0.172284644,0.75
8,9,percent,Shawn Johnson,28,2534488,Mark Ballas,Athlete,United States,17,0.230408063,0.209737828,1
8,9,percent,Lil' Kim,26,456380,Derek Hough,Singer/Rapper,United States,34,0.041489102,0.194756554,0.666666667
8,9,percent,Melissa Rycroft,28.5,2528613,Tony Dovolani,TV Personality,United States,26,0.229873972,0.213483146,0.833333333
8,10,percent,Gilles Marini,30,4493159,Cheryl Burke,Actor/Actress,France,33,0.299543973,0.273972603,0.916666667
8,10,percent,Ty Murray,24,1089141,Chelsie Hightower,Athlete,United States,39,0.07260941,0.219178082,0.75
8,10,percent,Shawn Johnson,28,4687203,Mark Ballas,Athlete,United States,17,0.312480242,0.255707763,1
8,10,percent,Melissa Rycroft,27.5,4730495,Tony Dovolani,TV Personality,United States,26,0.315366375,0.251141553,0.833333333
8,11,percent,Gilles Marini,29,4148423,Cheryl Burke,Actor/Actress,France,33,0.27656157,0.331428571,0.916666667
8,11,percent,Shawn Johnson,30,9151138,Mark Ballas,Athlete,United States,17,0.610075948,0.342857143,1
8,11,percent,Melissa Rycroft,28.5,1700437,Tony Dovolani,TV Personality,United States,26,0.113362482,0.325714286,0.833333333
9,1,percent,Ashley Hamiliton,18.9999,108596,Edyta Sliwinska,Actor/Actress,United States,34,0.010859601,0.046797968,0
9,1,percent,Debi Mazar,22,740302,Maksim Chmerkoskiy,Actor/Actress,United States,45,0.074030207,0.054187406,0.266666667
9,1,percent,Melissa Joan Hart,24,687241,Mark Ballas,Actor/Actress,United States,33,0.068724107,0.059113533,0.466666667
9,1,percent,Mark Dacascos,28.9998,659187,Lacey Schwimmer,Actor/Actress,United States,45,0.065918707,0.07142836,0.666666667
9,1,percent,Chuck Liddell,22,722224,Anna Trebunskaya,Athlete,United States,39,0.072222407,0.054187406,0.333333333
9,1,percent,Natalie Coughlin,26.9998,654074,Alec Mazo,Athlete,United States,27,0.065407407,0.066502233,0.4
9,1,percent,Louie Vito,26.9998,675201,Chelsie Hightower,Athlete,United States,21,0.067520107,0.066502233,0.533333333
9,1,percent,Michael Irvin,19,796143,Anna Demidova,Athlete,United States,43,0.079614308,0.046798214,0.6
9,1,percent,Joanna Krupa,33.9999,666459,Derek Hough,Model,Poland,30,0.066645907,0.083743926,0.8
9,1,percent,Kathy Ireland,19.9999,778595,Tony Dovolani,Model,United States,46,0.077859508,0.049261032,0.133333333
9,1,percent,Tom DeLay,19.9999,789043,Cheryl Burke,Politician,United States,62,0.078904308,0.049261032,0.2
9,1,percent,Macy Gray,18.9999,109970,Jonathan Roberts,Singer/Rapper,United States,42,0.010997001,0.046797968,0.066666667
9,1,percent,Aaron Carter,31.9999,651943,Karina Smirnoff,Singer/Rapper,United States,21,0.065194307,0.078817798,0.733333333
9,1,percent,Mya,30.9999,657395,Dmitry Chaplin,Singer/Rapper,United States,29,0.065739507,0.076354734,0.933333333
9,1,percent,Donny Osmond,29.9999,657400,Kym Johnson,Singer/Rapper,United States,51,0.065740007,0.073891671,1
9,1,percent,Kelly Osbourne,30.9998,646226,Louis van Amstel,TV Personality,England,24,0.064622606,0.076354488,0.866666667
9,2,percent,Debi Mazar,21,750899,Maksim Chmerkoskiy,Actor/Actress,United States,45,0.07508993,0.071428571,0.266666667
9,2,percent,Melissa Joan Hart,19,792968,Mark Ballas,Actor/Actress,United States,33,0.079296832,0.06462585,0.466666667
9,2,percent,Mark Dacascos,21,751027,Lacey Schwimmer,Actor/Actress,United States,45,0.07510273,0.071428571,0.666666667
9,2,percent,Chuck Liddell,19,778163,Anna Trebunskaya,Athlete,United States,39,0.077816331,0.06462585,0.333333333
9,2,percent,Natalie Coughlin,21,750692,Alec Mazo,Athlete,United States,27,0.07506923,0.071428571,0.4
9,2,percent,Louie Vito,19,790799,Chelsie Hightower,Athlete,United States,21,0.079079932,0.06462585,0.533333333
9,2,percent,Michael Irvin,20,762105,Anna Demidova,Athlete,United States,43,0.07621053,0.068027211,0.6
9,2,percent,Joanna Krupa,20,756349,Derek Hough,Model,Poland,30,0.07563493,0.068027211,0.8
9,2,percent,Kathy Ireland,18,79515,Tony Dovolani,Model,United States,46,0.007951503,0.06122449,0.133333333
9,2,percent,Tom DeLay,18,814524,Cheryl Burke,Politician,United States,62,0.081452433,0.06122449,0.2
9,2,percent,Aaron Carter,27,731434,Karina Smirnoff,Singer/Rapper,United States,21,0.073143429,0.091836735,0.733333333
9,2,percent,Mya,27,731854,Dmitry Chaplin,Singer/Rapper,United States,29,0.073185429,0.091836735,0.933333333
9,2,percent,Donny Osmond,25,728356,Kym Johnson,Singer/Rapper,United States,51,0.072835629,0.085034014,1
9,2,percent,Kelly Osbourne,19,781311,Louis van Amstel,TV Personality,England,24,0.078131131,0.06462585,0.866666667
9,3,percent,Debi Mazar,17,93194,Maksim Chmerkoskiy,Actor/Actress,United States,45,0.009319405,0.065891473,0.266666667
9,3,percent,Melissa Joan Hart,19,813577,Mark Ballas,Actor/Actress,United States,33,0.081357741,0.073643411,0.466666667
9,3,percent,Mark Dacascos,18,832817,Lacey Schwimmer,Actor/Actress,United States,45,0.083281742,0.069767442,0.666666667
9,3,percent,Chuck Liddell,17,867266,Anna Trebunskaya,Athlete,United States,39,0.086726643,0.065891473,0.333333333
9,3,percent,Natalie Coughlin,26,770333,Alec Mazo,Athlete,United States,27,0.077033339,0.100775194,0.4
9,3,percent,Louie Vito,20,794722,Chelsie Hightower,Athlete,United States,21,0.07947224,0.07751938,0.533333333
9,3,percent,Michael Irvin,14,992819,Anna Demidova,Athlete,United States,43,0.09928195,0.054263566,0.6
9,3,percent,Joanna Krupa,23,773732,Derek Hough,Model,Poland,30,0.077373239,0.089147287,0.8
9,3,percent,Tom DeLay,15,940867,Cheryl Burke,Politician,United States,62,0.094086747,0.058139535,0.2
9,3,percent,Aaron Carter,21,788928,Karina Smirnoff,Singer/Rapper,United States,21,0.078892839,0.081395349,0.733333333
9,3,percent,Mya,27,754742,Dmitry Chaplin,Singer/Rapper,United States,29,0.075474238,0.104651163,0.933333333
9,3,percent,Donny Osmond,21,788144,Kym Johnson,Singer/Rapper,United States,51,0.078814439,0.081395349,1
9,3,percent,Kelly Osbourne,20,788854,Louis van Amstel,TV Personality,England,24,0.078885439,0.07751938,0.866666667
9,4,percent,Melissa Joan Hart,28,924862,Mark Ballas,Actor/Actress,United States,33,0.092486255,0.115702479,0.466666667
9,4,percent,Mark Dacascos,22,962874,Lacey Schwimmer,Actor/Actress,United States,45,0.096287458,0.090909091,0.666666667
9,4,percent,Chuck Liddell,17,155115,Anna Trebunskaya,Athlete,United States,39,0.015511509,0.070247934,0.333333333
9,4,percent,Natalie Coughlin,24,934581,Alec Mazo,Athlete,United States,27,0.093458156,0.099173554,0.4
9,4,percent,Louie Vito,16,1121184,Chelsie Hightower,Athlete,United States,21,0.112118467,0.066115702,0.533333333
9,4,percent,Michael Irvin,16,1126342,Anna Demidova,Athlete,United States,43,0.112634268,0.066115702,0.6
9,4,percent,Joanna Krupa,26,934904,Derek Hough,Model,Poland,30,0.093490456,0.107438017,0.8
9,4,percent,Aaron Carter,18,1042418,Karina Smirnoff,Singer/Rapper,United States,21,0.104241863,0.074380165,0.733333333
9,4,percent,Mya,28,928869,Dmitry Chaplin,Singer/Rapper,United States,29,0.092886956,0.115702479,0.933333333
9,4,percent,Donny Osmond,24,937970,Kym Johnson,Singer/Rapper,United States,51,0.093797056,0.099173554,1
9,4,percent,Kelly Osbourne,23,930875,Louis van Amstel,TV Personality,England,24,0.093087556,0.095041322,0.866666667
9,5,percent,Melissa Joan Hart,23,1229788,Mark Ballas,Actor/Actress,United States,33,0.11179896,0.095041322,0.466666667
9,5,percent,Mark Dacascos,26,1161325,Lacey Schwimmer,Actor/Actress,United States,45,0.105575048,0.107438017,0.666666667
9,5,percent,Natalie Coughlin,22,139727,Alec Mazo,Athlete,United States,27,0.01270246,0.090909091,0.4
9,5,percent,Louie Vito,22,1268604,Chelsie Hightower,Athlete,United States,21,0.115327689,0.090909091,0.533333333
9,5,percent,Michael Irvin,21,1314939,Anna Demidova,Athlete,United States,43,0.119539963,0.08677686,0.6
9,5,percent,Joanna Krupa,24,1200733,Derek Hough,Model,Poland,30,0.109157595,0.099173554,0.8
9,5,percent,Aaron Carter,24,1197147,Karina Smirnoff,Singer/Rapper,United States,21,0.108831595,0.099173554,0.733333333
9,5,percent,Mya,27,1152738,Dmitry Chaplin,Singer/Rapper,United States,29,0.104794411,0.111570248,0.933333333
9,5,percent,Donny Osmond,29,1140763,Kym Johnson,Singer/Rapper,United States,51,0.103705774,0.119834711,1
9,5,percent,Kelly Osbourne,24,1194231,Louis van Amstel,TV Personality,England,24,0.108566504,0.099173554,0.866666667
9,6,percent,Melissa Joan Hart,23.9999,279416,Mark Ballas,Actor/Actress,United States,33,0.025401457,0.092307627,0.466666667
9,6,percent,Mark Dacascos,32,1433471,Lacey Schwimmer,Actor/Actress,United States,45,0.130315557,0.123077349,0.666666667
9,6,percent,Louie Vito,24,281216,Chelsie Hightower,Athlete,United States,21,0.025565093,0.092308012,0.533333333
9,6,percent,Michael Irvin,21.9998,1756881,Anna Demidova,Athlete,United States,43,0.159716469,0.084614908,0.6
9,6,percent,Joanna Krupa,35.9999,1356399,Derek Hough,Model,Poland,30,0.123309011,0.138461633,0.8
9,6,percent,Aaron Carter,32.9998,1393459,Karina Smirnoff,Singer/Rapper,United States,21,0.126678102,0.126922747,0.733333333
9,6,percent,Mya,33,1391649,Dmitry Chaplin,Singer/Rapper,United States,29,0.126513557,0.126923516,0.933333333
9,6,percent,Donny Osmond,30.9999,1449954,Kym Johnson,Singer/Rapper,United States,51,0.131814012,0.119230797,1
9,6,percent,Kelly Osbourne,24.9998,1657554,Louis van Amstel,TV Personality,England,24,0.150686741,0.09615341,0.866666667
9,7,percent,Mark Dacascos,21.5,432801,Lacey Schwimmer,Actor/Actress,United States,45,0.039345545,0.122507123,0.666666667
9,7,percent,Michael Irvin,23.5,373427,Anna Demidova,Athlete,United States,43,0.033947909,0.133903134,0.6
9,7,percent,Joanna Krupa,27.5,1952864,Derek Hough,Model,Poland,30,0.177533091,0.156695157,0.8
9,7,percent,Aaron Carter,26.5,2010934,Karina Smirnoff,Singer/Rapper,United States,21,0.182812182,0.150997151,0.733333333
9,7,percent,Mya,24.5,2139362,Dmitry Chaplin,Singer/Rapper,United States,29,0.194487455,0.13960114,0.933333333
9,7,percent,Donny Osmond,26,2018291,Kym Johnson,Singer/Rapper,United States,51,0.183481,0.148148148,1
9,7,percent,Kelly Osbourne,26,2072321,Louis van Amstel,TV Personality,England,24,0.188392818,0.148148148,0.866666667
9,8,percent,Joanna Krupa,26,2637699,Derek Hough,Model,Poland,30,0.239790905,0.198473282,0.8
9,8,percent,Aaron Carter,25,475358,Karina Smirnoff,Singer/Rapper,United States,21,0.043214379,0.190839695,0.733333333
9,8,percent,Mya,29.5,2448755,Dmitry Chaplin,Singer/Rapper,United States,29,0.222614172,0.22519084,0.933333333
9,8,percent,Donny Osmond,25,2733163,Kym Johnson,Singer/Rapper,United States,51,0.248469454,0.190839695,1
9,8,percent,Kelly Osbourne,25.5,2705021,Louis van Amstel,TV Personality,England,24,0.245911089,0.194656489,0.866666667
9,9,percent,Joanna Krupa,27,682547,Derek Hough,Model,Poland,30,0.062049733,0.25312587,0.8
9,9,percent,Mya,28.9999,3197746,Dmitry Chaplin,Singer/Rapper,United States,29,0.290704208,0.271874997,0.933333333
9,9,percent,Donny Osmond,24.6666,3617647,Kym Johnson,Singer/Rapper,United States,51,0.32887703,0.23125017,1
9,9,percent,Kelly Osbourne,25.9998,3502059,Louis van Amstel,TV Personality,England,24,0.318369029,0.243748963,0.866666667
9,10,percent,Mya,28.3332,3985536,Dmitry Chaplin,Singer/Rapper,United States,29,0.265702418,0.343203093,0.933333333
9,10,percent,Donny Osmond,28.9998,9189528,Kym Johnson,Singer/Rapper,United States,51,0.612635241,0.351277691,1
9,10,percent,Kelly Osbourne,25.2222,1824935,Louis van Amstel,TV Personality,England,24,0.121662341,0.305519216,0.866666667
10,2,percent,Aiden Turner,19,985927,Edyta Sliwinska,Actor/Actress,England,32,0.098592749,0.086363636,0.2
10,2,percent,Shannen Doherty,20,98332,Mark Ballas,Actor/Actress,United States,38,0.009833205,0.090909091,0
10,2,percent,Niecy Nash,21,910586,Louis van Amstel,Actor/Actress,United States,40,0.091058646,0.095454545,0.6
10,2,percent,Buzz Aldrin,12,1314919,Ashly DelGrosso,Astronaut,United States,80,0.131491966,0.054545455,0.1
10,2,percent,Chad Ochocinco,16,1106090,Cheryl Burke,Athlete,United States,32,0.110609055,0.072727273,0.7
10,2,percent,Evan Lysacek,24,861274,Anna Trebunskaya,Athlete,United States,24,0.086127443,0.109090909,0.9
10,2,percent,Pamela Anderson,22,890487,Damian Whitewood,Model,Canada,42,0.089048745,0.1,0.5
10,2,percent,Nicole Scherzinger,28,847691,Derek Hough,Singer/Rapper,United States,31,0.084769142,0.127272727,1
10,2,percent,Erin Andrews,23,869890,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.086989043,0.104545455,0.8
10,2,percent,Kate Gosselin,15,1163186,Tony Dovolani,TV Personality,United States,35,0.116318658,0.068181818,0.3
10,2,percent,Jake Pavelka,20,951613,Chelsie Hightower,TV Personality,United States,32,0.095161348,0.090909091,0.4
10,3,percent,Aiden Turner,20,1082915,Edyta Sliwinska,Actor/Actress,England,32,0.108291543,0.098522167,0.2
10,3,percent,Niecy Nash,21,1069968,Louis van Amstel,Actor/Actress,United States,40,0.106996843,0.103448276,0.6
10,3,percent,Buzz Aldrin,13,234311,Ashly DelGrosso,Astronaut,United States,80,0.023431109,0.064039409,0.1
10,3,percent,Chad Ochocinco,20,1089769,Cheryl Burke,Athlete,United States,32,0.108976944,0.098522167,0.7
10,3,percent,Evan Lysacek,26,1054651,Anna Trebunskaya,Athlete,United States,24,0.105465142,0.128078818,0.9
10,3,percent,Pamela Anderson,21,1074045,Damian Whitewood,Model,Canada,42,0.107404543,0.103448276,0.5
10,3,percent,Nicole Scherzinger,23,1061539,Derek Hough,Singer/Rapper,United States,31,0.106153942,0.113300493,1
10,3,percent,Erin Andrews,23,1069460,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.106946043,0.113300493,0.8
10,3,percent,Kate Gosselin,15,1197598,Tony Dovolani,TV Personality,United States,35,0.119759848,0.073891626,0.3
10,3,percent,Jake Pavelka,21,1065740,Chelsie Hightower,TV Personality,United States,32,0.106574043,0.103448276,0.4
10,4,percent,Aiden Turner,16.5,197702,Edyta Sliwinska,Actor/Actress,England,32,0.01977021,0.088948787,0.2
10,4,percent,Niecy Nash,18,1276888,Louis van Amstel,Actor/Actress,United States,40,0.127688864,0.09703504,0.6
10,4,percent,Chad Ochocinco,22,1181135,Cheryl Burke,Athlete,United States,32,0.118113559,0.118598383,0.7
10,4,percent,Evan Lysacek,26,1157894,Anna Trebunskaya,Athlete,United States,24,0.115789458,0.140161725,0.9
10,4,percent,Pamela Anderson,23.5,1166520,Damian Whitewood,Model,Canada,42,0.116652058,0.126684636,0.5
10,4,percent,Nicole Scherzinger,25,1157621,Derek Hough,Singer/Rapper,United States,31,0.115762158,0.134770889,1
10,4,percent,Erin Andrews,19.5,1241218,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.124121862,0.105121294,0.8
10,4,percent,Kate Gosselin,16,1379956,Tony Dovolani,TV Personality,United States,35,0.137995669,0.086253369,0.3
10,4,percent,Jake Pavelka,19,1241061,Chelsie Hightower,TV Personality,United States,32,0.124106162,0.102425876,0.4
10,5,percent,Niecy Nash,18,1616360,Louis van Amstel,Actor/Actress,United States,40,0.146941872,0.104046243,0.6
10,5,percent,Chad Ochocinco,18,1607645,Cheryl Burke,Athlete,United States,32,0.146149599,0.104046243,0.7
10,5,percent,Evan Lysacek,27,1463403,Anna Trebunskaya,Athlete,United States,24,0.133036685,0.156069364,0.9
10,5,percent,Pamela Anderson,21,1542368,Damian Whitewood,Model,Canada,42,0.140215324,0.121387283,0.5
10,5,percent,Nicole Scherzinger,29,1457392,Derek Hough,Singer/Rapper,United States,31,0.13249023,0.167630058,1
10,5,percent,Erin Andrews,22,1503855,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.136714141,0.12716763,0.8
10,5,percent,Kate Gosselin,15,316831,Tony Dovolani,TV Personality,United States,35,0.028802829,0.086705202,0.3
10,5,percent,Jake Pavelka,23,1492142,Chelsie Hightower,TV Personality,United States,32,0.135649322,0.132947977,0.4
10,6,percent,Niecy Nash,25.9998,1919563,Louis van Amstel,Actor/Actress,United States,40,0.174505791,0.124401374,0.6
10,6,percent,Chad Ochocinco,30.9999,1750136,Cheryl Burke,Athlete,United States,32,0.159103331,0.148325377,0.7
10,6,percent,Evan Lysacek,27,1884444,Anna Trebunskaya,Athlete,United States,24,0.171313153,0.129187036,0.9
10,6,percent,Pamela Anderson,29.9998,1773297,Damian Whitewood,Model,Canada,42,0.161208877,0.143540194,0.5
10,6,percent,Nicole Scherzinger,35.9999,1668233,Derek Hough,Singer/Rapper,United States,31,0.151657601,0.172248902,1
10,6,percent,Erin Andrews,34,1691921,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.153811056,0.162679971,0.8
10,6,percent,Jake Pavelka,24.9999,312402,Chelsie Hightower,TV Personality,United States,32,0.028400192,0.119617147,0.4
10,7,percent,Niecy Nash,24.5,2232248,Louis van Amstel,Actor/Actress,United States,40,0.202931673,0.15755627,0.6
10,7,percent,Chad Ochocinco,26,2137738,Cheryl Burke,Athlete,United States,32,0.194339854,0.167202572,0.7
10,7,percent,Evan Lysacek,27,2065140,Anna Trebunskaya,Athlete,United States,24,0.187740034,0.173633441,0.9
10,7,percent,Pamela Anderson,25.5,313279,Damian Whitewood,Model,Canada,42,0.028479914,0.163987138,0.5
10,7,percent,Nicole Scherzinger,27,2072901,Derek Hough,Singer/Rapper,United States,31,0.18844558,0.173633441,1
10,7,percent,Erin Andrews,25.5,2178692,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.198062945,0.163987138,0.8
10,8,percent,Niecy Nash,21.5,551836,Louis van Amstel,Actor/Actress,United States,40,0.050166923,0.169960474,0.6
10,8,percent,Chad Ochocinco,22.5,2825063,Cheryl Burke,Athlete,United States,32,0.256823979,0.177865613,0.7
10,8,percent,Evan Lysacek,26.5,2591031,Anna Trebunskaya,Athlete,United States,24,0.235548337,0.209486166,0.9
10,8,percent,Nicole Scherzinger,29.5,2467747,Derek Hough,Singer/Rapper,United States,31,0.224340698,0.233201581,1
10,8,percent,Erin Andrews,26.5,2564320,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.233120064,0.209486166,0.8
10,9,percent,Chad Ochocinco,26,762670,Cheryl Burke,Athlete,United States,32,0.069333643,0.230088496,0.7
10,9,percent,Evan Lysacek,29.5,3361108,Anna Trebunskaya,Athlete,United States,24,0.305555301,0.261061947,0.9
10,9,percent,Nicole Scherzinger,29.5,3373438,Derek Hough,Singer/Rapper,United States,31,0.30667621,0.261061947,1
10,9,percent,Erin Andrews,28,3502783,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.318434847,0.247787611,0.8
10,10,percent,Evan Lysacek,26.8887,4264699,Anna Trebunskaya,Athlete,United States,24,0.284313286,0.325268368,0.9
10,10,percent,Nicole Scherzinger,28.7777,9014677,Derek Hough,Singer/Rapper,United States,31,0.600978507,0.348119304,1
10,10,percent,Erin Andrews,26.9998,1720623,Maksim Chmerkoskiy,Sports Broadcaster,United States,32,0.114708208,0.326612328,0.8
11,1,percent,David Hasselhoff,15,138746,Kym Johnson,Actor/Actress,United States,58,0.012613278,0.066079295,0
11,1,percent,Florence Henderson,18,989187,Corky Ballas,Actor/Actress,United States,76,0.089926132,0.079295154,0.363636364
11,1,percent,Kyle Massey,23,948248,Lacey Schwimmer,Actor/Actress,United States,19,0.086204403,0.101321586,0.909090909
11,1,percent,Jennifer Grey,24,941650,Derek Hough,Actor/Actress,United States,50,0.085604584,0.105726872,1
11,1,percent,Rick Fox,22,945668,Cheryl Burke,Athlete,Canada,41,0.085969857,0.0969163,0.545454545
11,1,percent,Kurt Warner,19,956113,Anna Trebunskaya,Athlete,United States,39,0.086919403,0.083700441,0.636363636
11,1,percent,Margaret Cho,15,1086432,Louis van Amstel,Comedian,United States,41,0.09876659,0.066079295,0.181818182
11,1,percent,Michael Bolton,16,1042211,Chelsie Hightower,Singer/Rapper,United States,57,0.094746498,0.070484581,0.090909091
11,1,percent,Brandy,23,934747,Maksim Chmerkoskiy,Singer/Rapper,United States,31,0.084977039,0.101321586,0.727272727
11,1,percent,The Situation,15,1077230,Karina Smirnoff,TV Personality,United States,28,0.097930045,0.066079295,0.272727273
11,1,percent,Audrina Patridge,19,960527,Tony Dovolani,TV Personality,United States,25,0.087320676,0.083700441,0.454545455
11,1,percent,Bristol Palin,18,979236,Mark Ballas,TV Personality,United States,19,0.089021495,0.079295154,0.818181818
11,2,percent,Florence Henderson,19,1096378,Corky Ballas,Actor/Actress,United States,76,0.099670782,0.085972851,0.363636364
11,2,percent,Kyle Massey,22,1069122,Lacey Schwimmer,Actor/Actress,United States,19,0.097192962,0.099547511,0.909090909
11,2,percent,Jennifer Grey,24,1060628,Derek Hough,Actor/Actress,United States,50,0.09642078,0.108597285,1
11,2,percent,Rick Fox,21,1067472,Cheryl Burke,Athlete,Canada,41,0.097042962,0.095022624,0.545454545
11,2,percent,Kurt Warner,21,1065114,Anna Trebunskaya,Athlete,United States,39,0.096828598,0.095022624,0.636363636
11,2,percent,Margaret Cho,18,1102946,Louis van Amstel,Comedian,United States,41,0.100267873,0.081447964,0.181818182
11,2,percent,Michael Bolton,12,249020,Chelsie Hightower,Singer/Rapper,United States,57,0.022638194,0.054298643,0.090909091
11,2,percent,Brandy,21,1072635,Maksim Chmerkoskiy,Singer/Rapper,United States,31,0.097512326,0.095022624,0.727272727
11,2,percent,The Situation,18,1101147,Karina Smirnoff,TV Personality,United States,28,0.100104327,0.081447964,0.272727273
11,2,percent,Audrina Patridge,23,1058050,Tony Dovolani,TV Personality,United States,25,0.096186416,0.104072398,0.454545455
11,2,percent,Bristol Palin,22,1057482,Mark Ballas,TV Personality,United States,19,0.09613478,0.099547511,0.818181818
11,3,percent,Florence Henderson,20,1255771,Corky Ballas,Actor/Actress,United States,76,0.114161052,0.090497738,0.363636364
11,3,percent,Kyle Massey,23,1181555,Lacey Schwimmer,Actor/Actress,United States,19,0.10741414,0.104072398,0.909090909
11,3,percent,Jennifer Grey,24,1171118,Derek Hough,Actor/Actress,United States,50,0.106465321,0.108597285,1
11,3,percent,Rick Fox,24,1169869,Cheryl Burke,Athlete,Canada,41,0.106351776,0.108597285,0.545454545
11,3,percent,Kurt Warner,23,1184200,Anna Trebunskaya,Athlete,United States,39,0.107654594,0.104072398,0.636363636
