season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season
10,3,percent,Pamela Anderson,21,1074045,Damian Whitewood,Model,Canada,42
10,3,percent,Nicole Scherzinger,23,1061539,Derek Hough,Singer/Rapper,United States,31
10,3,percent,Erin Andrews,23,1069460,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,3,percent,Kate Gosselin,15,1197598,Tony Dovolani,TV Personality,United States,35
10,3,percent,Jake Pavelka,21,1065740,Chelsie Hightower,TV Personality,United States,32
10,4,percent,Aiden Turner,16.5,197702,Edyta Sliwinska,Actor/Actress,England,32
10,4,percent,Niecy Nash,18,1276888,Louis van Amstel,Actor/Actress,United States,40
10,4,percent,Chad Ochocinco,22,1181135,Cheryl Burke,Athlete,United States,32
10,4,percent,Evan Lysacek,26,1157894,Anna Trebunskaya,Athlete,United States,24
10,4,percent,Pamela Anderson,23.5,1166520,Damian Whitewood,Model,Canada,42
10,4,percent,Nicole Scherzinger,25,1157621,Derek Hough,Singer/Rapper,United States,31
10,4,percent,Erin Andrews,19.5,1241218,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,4,percent,Kate Gosselin,16,1379956,Tony Dovolani,TV Personality,United States,35
10,4,percent,Jake Pavelka,19,1241061,Chelsie Hightower,TV Personality,United States,32
10,5,percent,Niecy Nash,18,1616360,Louis van Amstel,Actor/Actress,United States,40
10,5,percent,Chad Ochocinco,18,1607645,Cheryl Burke,Athlete,United States,32
10,5,percent,Evan Lysacek,27,1463403,Anna Trebunskaya,Athlete,United States,24
10,5,percent,Pamela Anderson,21,1542368,Damian Whitewood,Model,Canada,42
10,5,percent,Nicole Scherzinger,29,1457392,Derek Hough,Singer/Rapper,United States,31
10,5,percent,Erin Andrews,22,1503855,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,5,percent,Kate Gosselin,15,316831,Tony Dovolani,TV Personality,United States,35
10,5,percent,Jake Pavelka,23,1492142,Chelsie Hightower,TV Personality,United States,32
10,6,percent,Niecy Nash,25.9998,1919563,Louis van Amstel,Actor/Actress,United States,40
10,6,percent,Chad Ochocinco,30.9999,1750136,Cheryl Burke,Athlete,United States,32
10,6,percent,Evan Lysacek,27,1884444,Anna Trebunskaya,Athlete,United States,24
10,6,percent,Pamela Anderson,29.9998,1773297,Damian Whitewood,Model,Canada,42
10,6,percent,Nicole Scherzinger,35.9999,1668233,Derek Hough,Singer/Rapper,United States,31
10,6,percent,Erin Andrews,34,1691921,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,6,percent,Jake Pavelka,24.9999,312402,Chelsie Hightower,TV Personality,United States,32
10,7,percent,Niecy Nash,24.5,2232248,Louis van Amstel,Actor/Actress,United States,40
10,7,percent,Chad Ochocinco,26,2137738,Cheryl Burke,Athlete,United States,32
10,7,percent,Evan Lysacek,27,2065140,Anna Trebunskaya,Athlete,United States,24
10,7,percent,Pamela Anderson,25.5,313279,Damian Whitewood,Model,Canada,42
10,7,percent,Nicole Scherzinger,27,2072901,Derek Hough,Singer/Rapper,United States,31
10,7,percent,Erin Andrews,25.5,2178692,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,8,percent,Niecy Nash,21.5,551836,Louis van Amstel,Actor/Actress,United States,40
10,8,percent,Chad Ochocinco,22.5,2825063,Cheryl Burke,Athlete,United States,32
10,8,percent,Evan Lysacek,26.5,2591031,Anna Trebunskaya,Athlete,United States,24
10,8,percent,Nicole Scherzinger,29.5,2467747,Derek Hough,Singer/Rapper,United States,31
10,8,percent,Erin Andrews,26.5,2564320,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,9,percent,Chad Ochocinco,26,762670,Cheryl Burke,Athlete,United States,32
10,9,percent,Evan Lysacek,29.5,3361108,Anna Trebunskaya,Athlete,United States,24
10,9,percent,Nicole Scherzinger,29.5,3373438,Derek Hough,Singer/Rapper,United States,31
10,9,percent,Erin Andrews,28,3502783,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
10,10,percent,Evan Lysacek,26.8887,4264699,Anna Trebunskaya,Athlete,United States,24
10,10,percent,Nicole Scherzinger,28.7777,9014677,Derek Hough,Singer/Rapper,United States,31
10,10,percent,Erin Andrews,26.9998,1720623,Maksim Chmerkoskiy,Sports Broadcaster,United States,32
11,1,percent,David Hasselhoff,15,138746,Kym Johnson,Actor/Actress,United States,58
11,1,percent,Florence Henderson,18,989187,Corky Ballas,Actor/Actress,United States,76
11,1,percent,Kyle Massey,23,948248,Lacey Schwimmer,Actor/Actress,United States,19
11,1,percent,Jennifer Grey,24,941650,Derek Hough,Actor/Actress,United States,50
11,1,percent,Rick Fox,22,945668,Cheryl Burke,Athlete,Canada,41
11,1,percent,Kurt Warner,19,956113,Anna Trebunskaya,Athlete,United States,39
11,1,percent,Margaret Cho,15,1086432,Louis van Amstel,Comedian,United States,41
11,1,percent,Michael Bolton,16,1042211,Chelsie Hightower,Singer/Rapper,United States,57
11,1,percent,Brandy,23,934747,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,1,percent,The Situation,15,1077230,Karina Smirnoff,TV Personality,United States,28
11,1,percent,Audrina Patridge,19,960527,Tony Dovolani,TV Personality,United States,25
11,1,percent,Bristol Palin,18,979236,Mark Ballas,TV Personality,United States,19
11,2,percent,Florence Henderson,19,1096378,Corky Ballas,Actor/Actress,United States,76
11,2,percent,Kyle Massey,22,1069122,Lacey Schwimmer,Actor/Actress,United States,19
11,2,percent,Jennifer Grey,24,1060628,Derek Hough,Actor/Actress,United States,50
11,2,percent,Rick Fox,21,1067472,Cheryl Burke,Athlete,Canada,41
11,2,percent,Kurt Warner,21,1065114,Anna Trebunskaya,Athlete,United States,39
11,2,percent,Margaret Cho,18,1102946,Louis van Amstel,Comedian,United States,41
11,2,percent,Michael Bolton,12,249020,Chelsie Hightower,Singer/Rapper,United States,57
11,2,percent,Brandy,21,1072635,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,2,percent,The Situation,18,1101147,Karina Smirnoff,TV Personality,United States,28
11,2,percent,Audrina Patridge,23,1058050,Tony Dovolani,TV Personality,United States,25
11,2,percent,Bristol Palin,22,1057482,Mark Ballas,TV Personality,United States,19
11,3,percent,Florence Henderson,20,1255771,Corky Ballas,Actor/Actress,United States,76
11,3,percent,Kyle Massey,23,1181555,Lacey Schwimmer,Actor/Actress,United States,19
11,3,percent,Jennifer Grey,24,1171118,Derek Hough,Actor/Actress,United States,50
11,3,percent,Rick Fox,24,1169869,Cheryl Burke,Athlete,Canada,41
11,3,percent,Kurt Warner,23,1184200,Anna Trebunskaya,Athlete,United States,39
11,3,percent,Margaret Cho,18,181455,Louis van Amstel,Comedian,United States,41
11,3,percent,Brandy,24,1171494,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,3,percent,The Situation,20,1245188,Karina Smirnoff,TV Personality,United States,28
11,3,percent,Audrina Patridge,26,1149855,Tony Dovolani,TV Personality,United States,25
11,3,percent,Bristol Palin,19,1289490,Mark Ballas,TV Personality,United States,19
11,4,percent,Florence Henderson,17.5,1384635,Corky Ballas,Actor/Actress,United States,76
11,4,percent,Kyle Massey,20,1323547,Lacey Schwimmer,Actor/Actress,United States,19
11,4,percent,Jennifer Grey,28,1281946,Derek Hough,Actor/Actress,United States,50
11,4,percent,Rick Fox,19.5,1325768,Cheryl Burke,Athlete,Canada,41
11,4,percent,Kurt Warner,17,1401040,Anna Trebunskaya,Athlete,United States,39
11,4,percent,Brandy,24,1296261,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,4,percent,The Situation,14,256373,Karina Smirnoff,TV Personality,United States,28
11,4,percent,Audrina Patridge,23,1295264,Tony Dovolani,TV Personality,United States,25
11,4,percent,Bristol Palin,16,1435161,Mark Ballas,TV Personality,United States,19
11,5,percent,Florence Henderson,21,250868,Corky Ballas,Actor/Actress,United States,76
11,5,percent,Kyle Massey,20,1954009,Lacey Schwimmer,Actor/Actress,United States,19
11,5,percent,Jennifer Grey,25,1699942,Derek Hough,Actor/Actress,United States,50
11,5,percent,Rick Fox,24,1745955,Cheryl Burke,Athlete,Canada,41
11,5,percent,Kurt Warner,24,1753950,Anna Trebunskaya,Athlete,United States,39
11,5,percent,Brandy,27,1702885,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,5,percent,Audrina Patridge,23,1782306,Tony Dovolani,TV Personality,United States,25
11,5,percent,Bristol Palin,18,2110081,Mark Ballas,TV Personality,United States,19
11,6,percent,Kyle Massey,29.9999,2033160,Lacey Schwimmer,Actor/Actress,United States,19
11,6,percent,Jennifer Grey,29,2150041,Derek Hough,Actor/Actress,United States,50
11,6,percent,Rick Fox,30,2048918,Cheryl Burke,Athlete,Canada,41
11,6,percent,Kurt Warner,21.9999,2564230,Anna Trebunskaya,Athlete,United States,39
11,6,percent,Brandy,35.9999,1757044,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,6,percent,Audrina Patridge,31.9998,251295,Tony Dovolani,TV Personality,United States,25
11,6,percent,Bristol Palin,27.9998,2195310,Mark Ballas,TV Personality,United States,19
11,7,percent,Kyle Massey,33.5,2597731,Lacey Schwimmer,Actor/Actress,United States,19
11,7,percent,Jennifer Grey,36.5,2421285,Derek Hough,Actor/Actress,United States,50
11,7,percent,Rick Fox,34.5,364212,Cheryl Burke,Athlete,Canada,41
11,7,percent,Kurt Warner,35,2514415,Anna Trebunskaya,Athlete,United States,39
11,7,percent,Brandy,36.5,2432842,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,7,percent,Bristol Palin,32.5,2669511,Mark Ballas,TV Personality,United States,19
11,8,percent,Kyle Massey,28,3002910,Lacey Schwimmer,Actor/Actress,United States,19
11,8,percent,Jennifer Grey,28.5,2980241,Derek Hough,Actor/Actress,United States,50
11,8,percent,Kurt Warner,24,598519,Anna Trebunskaya,Athlete,United States,39
11,8,percent,Brandy,28.5,3009855,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,8,percent,Bristol Palin,23.5,3408473,Mark Ballas,TV Personality,United States,19
11,9,percent,Kyle Massey,29,3978960,Lacey Schwimmer,Actor/Actress,United States,19
11,9,percent,Jennifer Grey,30,3879605,Derek Hough,Actor/Actress,United States,50
11,9,percent,Brandy,28.5,818316,Maksim Chmerkoskiy,Singer/Rapper,United States,31
11,9,percent,Bristol Palin,26.5,4323117,Mark Ballas,TV Personality,United States,19
11,10,percent,Kyle Massey,27.3332,5562487,Lacey Schwimmer,Actor/Actress,United States,19
11,10,percent,Jennifer Grey,30,12042886,Derek Hough,Actor/Actress,United States,50
11,10,percent,Bristol Palin,25.6666,2394625,Mark Ballas,TV Personality,United States,19
12,2,percent,Ralph Macchio,21,1059113,Karina Smirnoff,Actor/Actress,United States,49
12,2,percent,Chelsea Kane,18,1121056,Mark Ballas,Actor/Actress,United States,22
12,2,percent,Kirstie Alley,20,1056444,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,2,percent,Hines Ward,23,1027221,Kym Johnson,Athlete,South Korea,35
12,2,percent,Sugar Ray Leonard,17,1158074,Anna Trebunskaya,Athlete,United States,54
12,2,percent,Chris Jericho,23,1034915,Cheryl Burke,Athlete,United States,40
12,2,percent,Petra Nemcova,18,1126874,Dmitry Chaplin,Model,Czechoslovakia,31
12,2,percent,Mike Catherwood,17,135038,Lacey Schwimmer,Radio Personality,United States,32
12,2,percent,Romeo,23,1042792,Chelsie Hightower,Singer/Rapper,United States,21
12,2,percent,Wendy Williams,17,1150985,Tony Dovolani,TV Personality,United States,46
12,2,percent,Kendra Wilkinson,19,1087482,Louis van Amstel,TV Personality,United States,25
12,3,percent,Ralph Macchio,21,1204950,Karina Smirnoff,Actor/Actress,United States,49
12,3,percent,Chelsea Kane,23,1178567,Mark Ballas,Actor/Actress,United States,22
12,3,percent,Kirstie Alley,21,1195708,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,3,percent,Hines Ward,25,1163622,Kym Johnson,Athlete,South Korea,35
12,3,percent,Sugar Ray Leonard,20,1233513,Anna Trebunskaya,Athlete,United States,54
12,3,percent,Chris Jericho,21,1214321,Cheryl Burke,Athlete,United States,40
12,3,percent,Petra Nemcova,25,1175573,Dmitry Chaplin,Model,Czechoslovakia,31
12,3,percent,Romeo,20,1227018,Chelsie Hightower,Singer/Rapper,United States,21
12,3,percent,Wendy Williams,15,233005,Tony Dovolani,TV Personality,United States,46
12,3,percent,Kendra Wilkinson,23,1173716,Louis van Amstel,TV Personality,United States,25
12,4,percent,Ralph Macchio,25,1291533,Karina Smirnoff,Actor/Actress,United States,49
12,4,percent,Chelsea Kane,26,1274870,Mark Ballas,Actor/Actress,United States,22
12,4,percent,Kirstie Alley,22,1365190,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,4,percent,Hines Ward,25,1296610,Kym Johnson,Athlete,South Korea,35
12,4,percent,Sugar Ray Leonard,21,169292,Anna Trebunskaya,Athlete,United States,54
12,4,percent,Chris Jericho,23,1348608,Cheryl Burke,Athlete,United States,40
12,4,percent,Petra Nemcova,23,1337570,Dmitry Chaplin,Model,Czechoslovakia,31
12,4,percent,Romeo,23,1325207,Chelsie Hightower,Singer/Rapper,United States,21
12,4,percent,Kendra Wilkinson,18,1591115,Louis van Amstel,TV Personality,United States,25
12,5,percent,Ralph Macchio,22,1924407,Karina Smirnoff,Actor/Actress,United States,49
12,5,percent,Chelsea Kane,26,1761624,Mark Ballas,Actor/Actress,United States,22
12,5,percent,Kirstie Alley,23,1873105,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,5,percent,Hines Ward,27,1725267,Kym Johnson,Athlete,South Korea,35
12,5,percent,Chris Jericho,26,1772591,Cheryl Burke,Athlete,United States,40
12,5,percent,Petra Nemcova,22,251096,Dmitry Chaplin,Model,Czechoslovakia,31
12,5,percent,Romeo,26,1749571,Chelsie Hightower,Singer/Rapper,United States,21
12,5,percent,Kendra Wilkinson,22,1942335,Louis van Amstel,TV Personality,United States,25
12,6,percent,Ralph Macchio,24,2192389,Karina Smirnoff,Actor/Actress,United States,49
12,6,percent,Chelsea Kane,28,2039393,Mark Ballas,Actor/Actress,United States,22
12,6,percent,Kirstie Alley,26,2117290,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,6,percent,Hines Ward,27,2063965,Kym Johnson,Athlete,South Korea,35
12,6,percent,Chris Jericho,22,349710,Cheryl Burke,Athlete,United States,40
12,6,percent,Romeo,28,2070064,Chelsie Hightower,Singer/Rapper,United States,21
12,6,percent,Kendra Wilkinson,25,2167186,Louis van Amstel,TV Personality,United States,25
12,7,percent,Ralph Macchio,33,2438550,Karina Smirnoff,Actor/Actress,United States,49
12,7,percent,Chelsea Kane,32,2520041,Mark Ballas,Actor/Actress,United States,22
12,7,percent,Kirstie Alley,30,2603127,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,7,percent,Hines Ward,33,2469229,Kym Johnson,Athlete,South Korea,35
12,7,percent,Romeo,30,2587075,Chelsie Hightower,Singer/Rapper,United States,21
12,7,percent,Kendra Wilkinson,30.5,381975,Louis van Amstel,TV Personality,United States,25
12,8,percent,Ralph Macchio,23,3435713,Karina Smirnoff,Actor/Actress,United States,49
12,8,percent,Chelsea Kane,27.5,2973983,Mark Ballas,Actor/Actress,United States,22
12,8,percent,Kirstie Alley,26.5,3076155,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,8,percent,Hines Ward,27,2988161,Kym Johnson,Athlete,South Korea,35
12,8,percent,Romeo,26,525985,Chelsie Hightower,Singer/Rapper,United States,21
12,9,percent,Ralph Macchio,24,1032417,Karina Smirnoff,Actor/Actress,United States,49
12,9,percent,Chelsea Kane,36.5,3708873,Mark Ballas,Actor/Actress,United States,22
12,9,percent,Kirstie Alley,27,4239998,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,9,percent,Hines Ward,30,4018710,Kym Johnson,Athlete,South Korea,35
12,10,percent,Chelsea Kane,29.6666,2186142,Mark Ballas,Actor/Actress,United States,22
12,10,percent,Kirstie Alley,27.9999,5826686,Maksim Chmerkoskiy,Actor/Actress,United States,60
12,10,percent,Hines Ward,29.6666,11987171,Kym Johnson,Athlete,South Korea,35
13,1,percent,Elisabetta Canalis,15,1051150,Valentin Chmerkovskiy,Actor/Actress,Italy,33
13,1,percent,David Arquette,18,975409,Kym Johnson,Actor/Actress,United States,40
13,1,percent,Ricki Lake,20,968222,Derek Hough,Actor/Actress,United States,42
13,1,percent,J.R. Martinez,22,948224,Karina Smirnoff,Actor/Actress,United States,28
13,1,percent,Metta World Peace (Ron),14,145742,Peta Murgatroyd,Athlete,United States,31
13,1,percent,Hope Solo,21,959026,Maksim Chmerkoskiy,Athlete,United States,30
13,1,percent,Chynna Phillips,22,961792,Tony Dovolani,Singer/Rapper,United States,43
13,1,percent,Kristin Cavallari,19,969687,Mark Ballas,TV Personality,United States,24
13,1,percent,Carson Kressley,17,988813,Anna Trebunskaya,TV Personality,United States,41
13,1,percent,Chaz Bono,17,994332,Lacey Schwimmer,TV Personality,United States,42
13,1,percent,Nancy Grace,16,1016699,Tristan MacManus,TV Personality,United States,51
13,1,percent,Rob Kardashian,16,1020896,Cheryl Burke,TV Personality,United States,24
13,2,percent,Elisabetta Canalis,21,90690,Valentin Chmerkovskiy,Actor/Actress,Italy,33
13,2,percent,David Arquette,18,1215309,Kym Johnson,Actor/Actress,United States,40
13,2,percent,Ricki Lake,23,972762,Derek Hough,Actor/Actress,United States,42
13,2,percent,J.R. Martinez,22,1011698,Karina Smirnoff,Actor/Actress,United States,28
13,2,percent,Hope Solo,19,1147880,Maksim Chmerkoskiy,Athlete,United States,30
13,2,percent,Chynna Phillips,21,1014930,Tony Dovolani,Singer/Rapper,United States,43
13,2,percent,Kristin Cavallari,22,987648,Mark Ballas,TV Personality,United States,24
13,2,percent,Carson Kressley,18,1170365,Anna Trebunskaya,TV Personality,United States,41
13,2,percent,Chaz Bono,17,1261757,Lacey Schwimmer,TV Personality,United States,42
13,2,percent,Nancy Grace,21,1075445,Tristan MacManus,TV Personality,United States,51
13,2,percent,Rob Kardashian,21,1051510,Cheryl Burke,TV Personality,United States,24
13,3,percent,David Arquette,24,1163789,Kym Johnson,Actor/Actress,United States,40
13,3,percent,Ricki Lake,27,1101475,Derek Hough,Actor/Actress,United States,42
13,3,percent,J.R. Martinez,26,1108779,Karina Smirnoff,Actor/Actress,United States,28
13,3,percent,Hope Solo,24,1194492,Maksim Chmerkoskiy,Athlete,United States,30
13,3,percent,Chynna Phillips,26,1112909,Tony Dovolani,Singer/Rapper,United States,43
13,3,percent,Kristin Cavallari,24,116449,Mark Ballas,TV Personality,United States,24
13,3,percent,Carson Kressley,23,1219657,Anna Trebunskaya,TV Personality,United States,41
13,3,percent,Chaz Bono,18,1475643,Lacey Schwimmer,TV Personality,United States,42
13,3,percent,Nancy Grace,21,1332563,Tristan MacManus,TV Personality,United States,51
13,3,percent,Rob Kardashian,24,1174239,Cheryl Burke,TV Personality,United States,24
13,4,percent,David Arquette,23,1355666,Kym Johnson,Actor/Actress,United States,40
13,4,percent,Ricki Lake,29,1245263,Derek Hough,Actor/Actress,United States,42
13,4,percent,J.R. Martinez,26,1295338,Karina Smirnoff,Actor/Actress,United States,28
13,4,percent,Hope Solo,24,1320947,Maksim Chmerkoskiy,Athlete,United States,30
13,4,percent,Chynna Phillips,21,172959,Tony Dovolani,Singer/Rapper,United States,43
13,4,percent,Carson Kressley,20,1475803,Anna Trebunskaya,TV Personality,United States,41
13,4,percent,Chaz Bono,21,1434192,Lacey Schwimmer,TV Personality,United States,42
13,4,percent,Nancy Grace,21,1405813,Tristan MacManus,TV Personality,United States,51
13,4,percent,Rob Kardashian,24,1294016,Cheryl Burke,TV Personality,United States,24
13,5,percent,David Arquette,25,1773696,Kym Johnson,Actor/Actress,United States,40
13,5,percent,Ricki Lake,24,1811077,Derek Hough,Actor/Actress,United States,42
13,5,percent,J.R. Martinez,28,1723791,Karina Smirnoff,Actor/Actress,United States,28
13,5,percent,Hope Solo,24,1809241,Maksim Chmerkoskiy,Athlete,United States,30
13,5,percent,Carson Kressley,19,312650,Anna Trebunskaya,TV Personality,United States,41
13,5,percent,Chaz Bono,21,1917379,Lacey Schwimmer,TV Personality,United States,42
13,5,percent,Nancy Grace,22,1885837,Tristan MacManus,TV Personality,United States,51
13,5,percent,Rob Kardashian,25,1766324,Cheryl Burke,TV Personality,United States,24
13,6,percent,David Arquette,23,2108078,Kym Johnson,Actor/Actress,United States,40
13,6,percent,Ricki Lake,29,2002608,Derek Hough,Actor/Actress,United States,42
13,6,percent,J.R. Martinez,29,1995355,Karina Smirnoff,Actor/Actress,United States,28
13,6,percent,Hope Solo,20,2259699,Maksim Chmerkoskiy,Athlete,United States,30
13,6,percent,Chaz Bono,19,392989,Lacey Schwimmer,TV Personality,United States,42
13,6,percent,Nancy Grace,24,2078196,Tristan MacManus,TV Personality,United States,51
13,6,percent,Rob Kardashian,22,2163070,Cheryl Burke,TV Personality,United States,24
13,7,percent,David Arquette,23.5,390397,Kym Johnson,Actor/Actress,United States,40
13,7,percent,Ricki Lake,26.5,2421208,Derek Hough,Actor/Actress,United States,42
13,7,percent,J.R. Martinez,24,2555813,Karina Smirnoff,Actor/Actress,United States,28
13,7,percent,Hope Solo,25,2465111,Maksim Chmerkoskiy,Athlete,United States,30
13,7,percent,Nancy Grace,22,2720281,Tristan MacManus,TV Personality,United States,51
13,7,percent,Rob Kardashian,25.5,2447187,Cheryl Burke,TV Personality,United States,24
13,8,percent,Ricki Lake,26,3116275,Derek Hough,Actor/Actress,United States,42
13,8,percent,J.R. Martinez,30,2960753,Karina Smirnoff,Actor/Actress,United States,28
13,8,percent,Hope Solo,26,3131624,Maksim Chmerkoskiy,Athlete,United States,30
13,8,percent,Nancy Grace,22,650780,Tristan MacManus,TV Personality,United States,51
13,8,percent,Rob Kardashian,25.5,3140566,Cheryl Burke,TV Personality,United States,24
13,9,percent,Ricki Lake,33.4999,3863315,Derek Hough,Actor/Actress,United States,42
13,9,percent,J.R. Martinez,28,4198513,Karina Smirnoff,Actor/Actress,United States,28
13,9,percent,Hope Solo,24.4998,1022022,Maksim Chmerkoskiy,Athlete,United States,30
13,9,percent,Rob Kardashian,32.4998,3916148,Cheryl Burke,TV Personality,United States,24
13,10,percent,Ricki Lake,27.9999,2215235,Derek Hough,Actor/Actress,United States,42
13,10,percent,J.R. Martinez,28.1665,12274461,Karina Smirnoff,Actor/Actress,United States,28
13,10,percent,Rob Kardashian,28.3332,5510303,Cheryl Burke,TV Personality,United States,24
14,2,percent,William Levy,25,964389,Cheryl Burke,Actor/Actress,Cuba,31
14,2,percent,Jack Wagner,21,1006325,Anna Trebunskaya,Actor/Actress,United States,52
14,2,percent,Sherri Sheperd,23,972113,Valentin Chmerkovskiy,Actor/Actress,United States,44
14,2,percent,Jaleel White,22,985841,Kym Johnson,Actor/Actress,United States,35
14,2,percent,Roshon Fegan,26,968995,Chelsie Hightower,Actor/Actress,United States,20
14,2,percent,Melissa Gilbert,20,1015677,Maksim Chmerkoskiy,Actor/Actress,United States,47
14,2,percent,Martina Navratilova,17,155352,Tony Dovolani,Athlete,Czechoslovakia,55
14,2,percent,Donald Driver,24,965268,Peta Murgatroyd,Athlete,United States,37
14,2,percent,Gavin DeGraw,21,997176,Karina Smirnoff,Singer/Rapper,United States,35
14,2,percent,Gladys Knight,19,1043197,Tristan MacManus,Singer/Rapper,United States,67
14,2,percent,Katherine Jenkins,26,967319,Mark Ballas,Singer/Rapper,Wales,31
14,2,percent,Maria Menounos,25,958341,Derek Hough,TV Personality,United States,33
14,3,percent,William Levy,28,1047970,Cheryl Burke,Actor/Actress,Cuba,31
14,3,percent,Jack Wagner,24,109744,Anna Trebunskaya,Actor/Actress,United States,52
14,3,percent,Sherri Sheperd,24,1131002,Valentin Chmerkovskiy,Actor/Actress,United States,44
14,3,percent,Jaleel White,25,1114077,Kym Johnson,Actor/Actress,United States,35
14,3,percent,Roshon Fegan,25,1106350,Chelsie Hightower,Actor/Actress,United States,20
14,3,percent,Melissa Gilbert,24,1113206,Maksim Chmerkoskiy,Actor/Actress,United States,47
14,3,percent,Donald Driver,26,1075796,Peta Murgatroyd,Athlete,United States,37
14,3,percent,Gavin DeGraw,24,1120441,Karina Smirnoff,Singer/Rapper,United States,35
14,3,percent,Gladys Knight,24,1118496,Tristan MacManus,Singer/Rapper,United States,67
14,3,percent,Katherine Jenkins,29,1020885,Mark Ballas,Singer/Rapper,Wales,31
14,3,percent,Maria Menounos,27,1042028,Derek Hough,TV Personality,United States,33
14,4,percent,William Levy,22,1242719,Cheryl Burke,Actor/Actress,Cuba,31
14,4,percent,Sherri Sheperd,21,144818,Valentin Chmerkovskiy,Actor/Actress,United States,44
14,4,percent,Jaleel White,22,1239977,Kym Johnson,Actor/Actress,United States,35
14,4,percent,Roshon Fegan,26,1147645,Chelsie Hightower,Actor/Actress,United States,20
14,4,percent,Melissa Gilbert,22,1228620,Maksim Chmerkoskiy,Actor/Actress,United States,47
14,4,percent,Donald Driver,27,1141670,Peta Murgatroyd,Athlete,United States,37
14,4,percent,Gavin DeGraw,23,1204075,Karina Smirnoff,Singer/Rapper,United States,35
14,4,percent,Gladys Knight,20,1317592,Tristan MacManus,Singer/Rapper,United States,67
14,4,percent,Katherine Jenkins,24,1185529,Mark Ballas,Singer/Rapper,Wales,31
14,4,percent,Maria Menounos,26,1147351,Derek Hough,TV Personality,United States,33
14,5,percent,William Levy,29,1534710,Cheryl Burke,Actor/Actress,Cuba,31
14,5,percent,Jaleel White,24,1597126,Kym Johnson,Actor/Actress,United States,35
14,5,percent,Roshon Fegan,26,1566571,Chelsie Hightower,Actor/Actress,United States,20
14,5,percent,Melissa Gilbert,21,1707219,Maksim Chmerkoskiy,Actor/Actress,United States,47
14,5,percent,Donald Driver,27,1550913,Peta Murgatroyd,Athlete,United States,37
14,5,percent,Gavin DeGraw,19,283804,Karina Smirnoff,Singer/Rapper,United States,35
14,5,percent,Gladys Knight,22,1649000,Tristan MacManus,Singer/Rapper,United States,67
14,5,percent,Katherine Jenkins,29,1532259,Mark Ballas,Singer/Rapper,Wales,31
14,5,percent,Maria Menounos,27,1578393,Derek Hough,TV Personality,United States,33
14,6,percent,William Levy,36,1749225,Cheryl Burke,Actor/Actress,Cuba,31
14,6,percent,Jaleel White,36.9998,1761299,Kym Johnson,Actor/Actress,United States,35
14,6,percent,Roshon Fegan,27.9998,1903930,Chelsie Hightower,Actor/Actress,United States,20
14,6,percent,Melissa Gilbert,30,1862111,Maksim Chmerkoskiy,Actor/Actress,United States,47
14,6,percent,Donald Driver,33.9999,1778451,Peta Murgatroyd,Athlete,United States,37
14,6,percent,Gladys Knight,24,352932,Tristan MacManus,Singer/Rapper,United States,67
14,6,percent,Katherine Jenkins,38.9999,1744489,Mark Ballas,Singer/Rapper,Wales,31
14,6,percent,Maria Menounos,29.9999,1847559,Derek Hough,TV Personality,United States,33
14,7,percent,William Levy,26.5,2096127,Cheryl Burke,Actor/Actress,Cuba,31
14,7,percent,Jaleel White,25.5,276617,Kym Johnson,Actor/Actress,United States,35
14,7,percent,Roshon Fegan,26,2125588,Chelsie Hightower,Actor/Actress,United States,20
14,7,percent,Melissa Gilbert,23.5,2330628,Maksim Chmerkoskiy,Actor/Actress,United States,47
14,7,percent,Donald Driver,26.5,2112669,Peta Murgatroyd,Athlete,United States,37
14,7,percent,Katherine Jenkins,27,2064172,Mark Ballas,Singer/Rapper,Wales,31
14,7,percent,Maria Menounos,28.5,1994194,Derek Hough,TV Personality,United States,33
14,8,percent,William Levy,28.5,2861780,Cheryl Burke,Actor/Actress,Cuba,31
14,8,percent,Roshon Fegan,28,548182,Chelsie Hightower,Actor/Actress,United States,20
